mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
3.456891107559204,0.5449720586800897,0.030466413497924803,0.0028306874871468148,0.1,3,400,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9884859338691577,0.9874143224231521,0.988170929237052,0.9880985468807394,0.9871916978915356,0.9878722860603274,0.00048782707748015226,17
0.9591256141662597,0.20689831180965224,0.02171049118041992,0.0024567691071233602,0.1,4,100,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9885392213536105,0.9874097095129545,0.988090175727379,0.9878759729772898,0.986987729225709,0.9877805617593886,0.0005378927968893346,24
1.1527838706970215,0.24266695919394454,0.02202630043029785,0.002766404067058348,0.1,4,100,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9885763165558658,0.9871776855843305,0.9880594997375325,0.9878696213493458,0.9868495816528303,0.987706540975981,0.0006199599925332727,32
1.9269811630249023,0.38242658260781776,0.03136119842529297,0.00514886323506537,0.1,4,200,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9884083351974805,0.9874033818084934,0.9879325452479547,0.9877839253520471,0.9869837338466274,0.9877023842905206,0.0004824625661842916,33
2.3809602737426756,0.5832239127163391,0.028505420684814452,0.004861887898855097,0.1,4,200,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9884061618288725,0.9872536984538169,0.9879355296257192,0.9878235856830633,0.9868093358362627,0.987645662285547,0.0005562583825593112,38
4.324780988693237,0.5944364595079489,0.03686246871948242,0.00475671049378704,0.1,4,400,0.8,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9880877275598619,0.987151352506299,0.9876778387403323,0.9874808282747755,0.9865368585013017,0.9873869211165142,0.0005220498652732166,45
4.6156675815582275,0.6452432075865745,0.04671101570129395,0.008458969083343428,0.1,4,400,1.0,"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9881670964591956,0.9870499231885681,0.9875715315488531,0.987526879380729,0.9865100650192812,0.9873650991193255,0.000555410859394496,46
0.6090965747833252,0.1379046748656702,0.018537282943725586,0.0023802666639305805,0.2,2,100,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9878410079482036,0.9862009671089322,0.9879083317328538,0.9868614758661787,0.986345123451367,0.9870313812215071,0.0007230411870900374,57
0.5311851024627685,0.013655945894803526,0.01845078468322754,0.0029260882589868544,0.2,2,100,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9876372497563127,0.9863150033495623,0.9873589046311557,0.9872290516418883,0.9865339995343406,0.9870148417826519,0.0005045076596805098,58
1.1821280479431153,0.2334212537167748,0.021160316467285157,0.003799211380866575,0.2,2,200,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.9883492342173863,0.9869309023103973,0.9883837877409699,0.9875841381321644,0.9872044064309896,0.9876904937663815,0.0005897740441140084,35
1.4531476497650146,0.35316658902421666,0.025510263442993165,0.005892361737714646,0.2,2,200,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.9883707041801175,0.9872162803637318,0.9879438715118785,0.9879040492709226,0.9872552371391883,0.9877380284931678,0.00044170609547591525,28
2.669438695907593,0.6313202200620877,0.0302640438079834,0.0058949708251556454,0.2,2,400,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 2, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.9885556573517625,0.9872632891310221,0.9884358156793503,0.9879306994221496,0.9874405353041582,0.9879251993776886,0.000515996308881829,12
2.7432138442993166,0.5402409007924498,0.0305509090423584,0.006100527448001416,0.2,2,400,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 2, 'model__n_estimators': 400, 'model__subsample': 1.0}",0.9886624826131146,0.9875227273165526,0.9882003542168283,0.9881309724448324,0.9875327721369112,0.9880098617456479,0.00043400083558929186,6
0.7590875625610352,0.1460590890520398,0.020691823959350587,0.002236200884700099,0.2,3,100,0.8,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.9883645855089913,0.9870488927244303,0.9883144667363423,0.9877117128694445,0.9867840232555984,0.9876447362189612,0.0006429718676977738,39
0.9088254928588867,0.23540457233150094,0.02168126106262207,0.004237830500711435,0.2,3,100,1.0,"{'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.9884058809558933,0.9868173257117121,0.9882858784292085,0.9878647792632962,0.9868393713573814,0.9876426471434983,0.000688770276982477,40
